2021/22,991,8715619
2020/21,775,7896202
2021/22,1437,7757286
2021/22,1423,7819956
2021/22,1739,5427068
2020/21,1749,4910970
2021/22,1708,5729806
2021/22,1531,7206092
2021/22,936,8756788
2020/21,1601,5975467
2021/22,1833,4460653
2016/17,1383,3827535
2017/18,1430,4972875
2019/20,418,7495284
2020/21,935,7786603
2021/22,1789,4920487
2021/22,1427,7804555
2015/16,1823,1668665
2016/17,1993,638518
2017/18,2053,776109
2018/19,2004,1834863
2019/20,2205,272699
2020/21,1854,4013404
2021/22,1736,5453776
2021/22,1329,8187270
2018/19,1783,4195089
2020/21,1619,5858386
2021/22,1792,4884340
2018/19,1620,5087783
2019/20,1831,3918372
2020/21,1522,6445517
2020/21,1947,3132259
2021/22,2008,2716848
2019/20,1888,3226374
2021/22,1832,4473064
2021/22,1240,8413565
2021/22,1577,6874120
2016/17,1962,796009
2017/18,1527,4629025
2018/19,2011,1747449
2019/20,1855,3624527
2020/21,1418,6937978
2021/22,1758,5227450
2021/22,1509,7348823
2020/21,1435,6868935
2012/13,1516,2052918
2013/14,2052,835476
2014/15,2142,26941
2015/16,2011,587067
2016/17,1646,2820276
2018/19,1809,3988149
2019/20,1746,4859403
2020/21,1858,3975330
2021/22,1929,3474029
2021/22,658,8918669
2020/21,1207,7485629
2021/22,1559,7007220
2021/22,1243,8407236
2021/22,1167,8533598
2018/19,1686,4801503
2019/20,1923,2805966
2020/21,1548,6301187
2021/22,1667,6114447
2021/22,1598,6708812
2019/20,2012,1759704
2021/22,526,8973827
2021/22,1626,6474813
2015/16,1325,3357475
2017/18,571,5730608
2018/19,1619,5089648
2019/20,1871,3435625
2020/21,1755,4862902
2021/22,1451,7680846
2021/22,1470,7578099
2019/20,1524,6360493
2020/21,1974,2868951
2021/22,1647,6292505
2021/22,1562,6983139
2017/18,1847,2447921
2018/19,1542,5339354
2019/20,1650,5689570
2020/21,2060,2059006
2021/22,2008,2722422
2017/18,826,5592374
2020/21,1834,4192866
2021/22,1297,8279704
2020/21,1562,6214199
2018/19,1558,5293774
2019/20,2014,1743188
2020/21,2064,2020234
2021/22,1789,4918037
2019/20,1674,5503379
2020/21,639,7987263
2021/22,1453,7670141
2021/22,1523,7260587
2014/15,1327,3088961
2015/16,1703,2207223
2017/18,1692,3628238
2018/19,1963,2333501
2019/20,1837,3850460
2020/21,1766,4776515
2021/22,1785,4958569
2021/22,1941,3354845
2014/15,1665,1795323
2015/16,1947,949265
2016/17,2156,123066
2017/18,1856,2373765
2018/19,1963,2329027
2019/20,1667,5560759
2020/21,1794,4546221
2021/22,1802,4787189
2015/16,1458,3039054
2017/18,1982,1320779
2018/19,1795,4103527
2019/20,1882,3301526
2020/21,1803,4465207
2020/21,1432,6879258
2021/22,804,8842846
2018/19,2003,1843193
2019/20,1513,6397842
2020/21,2114,1575278
2021/22,2005,2744871
2016/17,1636,2874138
2017/18,1537,4579740
2018/19,1773,4272526
2019/20,1456,6580346
2020/21,1691,5358890
2021/22,1714,5669828
2020/21,1268,7376766
2020/21,1981,2808366
2021/22,1755,5266210
2019/20,1570,6161946
2020/21,1709,5222533
2021/22,1451,7682915
2021/22,799,8845818
2021/22,1430,7786792
2021/22,2038,2443248
2017/18,1850,2416709
2019/20,1630,5821863
2020/21,1611,5908353
2021/22,1823,4563428
2020/21,1285,7341071
2021/22,1384,7988213
2021/22,1053,8661166
2018/19,2008,1790982
2019/20,1841,3803475
2020/21,1800,4493475
2019/20,1632,5808322
2021/22,1600,6692752
2021/22,1778,5031468
2020/21,1586,6067910
2019/20,1590,6055098
2020/21,1947,3130355
2020/21,2114,1578911
2021/22,1809,4715838
2017/18,1649,3926499
2018/19,1565,5271541
2019/20,1671,5529645
2021/22,1305,8257690
2018/19,815,6048616
2019/20,1761,4701182
2020/21,1670,5508946
2021/22,1530,7207323
2019/20,1996,1938502
2021/22,1621,6515253
2021/22,1540,7143465
2020/21,1286,7340355
2021/22,825,8830190
2019/20,1051,7122232
2021/22,1603,6661271
2016/17,1059,4157720
2017/18,2104,468425
2018/19,2074,1076021
2019/20,1741,4914077
2020/21,2130,1436919
2021/22,2013,2669747
2021/22,1673,6060324
2020/21,1830,4233497
2020/21,1510,6508417
2020/21,2172,1110938
2021/22,2268,809743
2018/19,2061,1199599
2019/20,1903,3044254
2020/21,1996,2654517
2019/20,1853,3654354
2020/21,1725,5103269
2021/22,1633,6415727
2021/22,1421,7829345
2019/20,1676,5493061
2021/22,1762,5195097
2019/20,1657,5637169
2021/22,1389,7970731
2018/19,574,6159703
2020/21,1095,7632923
2021/22,1418,7846148
2017/18,1820,2657075
2018/19,1913,2939439
2019/20,1679,5470481
2020/21,1669,5519797
2021/22,1707,5738133
2013/14,1770,1815546
2014/15,1515,2493673
2016/17,1631,2902865
2019/20,1686,5413790
2020/21,1884,3736489
2019/20,1387,6740235
2020/21,1852,4033259
2019/20,1712,5188780
2020/21,1703,5271049
2021/22,1658,6196250
2020/21,1611,5913835
2021/22,1486,7486564
2018/19,1166,5849559
2021/22,1744,5367728
2020/21,1001,7729667
2021/22,1749,5327215
2021/22,614,8937286
2021/22,459,9000510
2019/20,1792,4368720
2020/21,1322,7251508
2021/22,1845,4335546
2019/20,1790,4387277
2021/22,1163,8537968
2018/19,1875,3360465
2019/20,1821,4035045
2020/21,1865,3911970
2021/22,1578,6862747
2021/22,1075,8640163
2021/22,1443,7725186
2020/21,1522,6447767
2019/20,1790,4396320
2020/21,1874,3830972
2021/22,1477,7540940
2021/22,1680,5993822
2021/22,994,8712373
2021/22,1428,7799495
2021/22,1419,7838568
2019/20,1904,3035982
2020/21,1673,5486048
2021/22,1421,7833345
2021/22,1680,5986968
2021/22,1352,8112045
