,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,13,2,4,43,17,+26,41,2.16,39.7,15.5,+24.2,+1.27,19,14,3,2,40,15,+25,45,2.37,33.6,15.8,+17.8,+0.93
2,Manchester Utd,19,9,4,6,38,28,+10,31,1.63,31.7,21.4,+10.3,+0.54,19,12,7,0,35,16,+19,43,2.26,28.6,20.9,+7.7,+0.41
3,Liverpool,19,10,3,6,29,20,+9,33,1.74,35.7,21.7,+14.0,+0.74,19,10,6,3,39,22,+17,36,1.89,36.9,23.6,+13.3,+0.70
4,Chelsea,19,9,6,4,31,18,+13,33,1.74,35.6,17.2,+18.4,+0.97,19,10,4,5,27,18,+9,34,1.79,28.4,15.6,+12.8,+0.67
5,Leicester City,19,9,1,9,34,30,+4,28,1.47,28.9,26.2,+2.7,+0.14,19,11,5,3,34,20,+14,38,2.00,27.1,21.4,+5.7,+0.30
6,West Ham,19,10,4,5,32,22,+10,34,1.79,24.2,25.7,-1.5,-0.08,19,9,4,6,30,25,+5,31,1.63,29.7,22.6,+7.1,+0.37
7,Tottenham,19,10,3,6,35,20,+15,33,1.74,29.2,22.3,+6.9,+0.36,19,8,5,6,33,25,+8,29,1.53,25.3,27.3,-1.9,-0.10
8,Arsenal,19,8,4,7,24,21,+3,28,1.47,24.6,22.3,+2.3,+0.12,19,10,3,6,31,18,+13,33,1.74,28.9,22.1,+6.9,+0.36
9,Leeds United,19,8,5,6,28,21,+7,29,1.53,30.6,26.0,+4.6,+0.24,19,10,0,9,34,33,+1,30,1.58,26.9,36.9,-10.0,-0.53
10,Everton,19,6,4,9,24,28,-4,22,1.16,25.3,27.2,-1.9,-0.10,19,11,4,4,23,20,+3,37,1.95,21.8,24.8,-3.0,-0.16
11,Aston Villa,19,7,4,8,29,27,+2,25,1.32,27.7,27.8,0.0,0.00,19,9,3,7,26,19,+7,30,1.58,25.2,25.1,+0.1,+0.01
12,Newcastle Utd,19,6,5,8,26,33,-7,23,1.21,24.1,23.1,+1.0,+0.05,19,6,4,9,20,29,-9,22,1.16,16.9,30.9,-14.0,-0.74
13,Wolves,19,7,4,8,21,25,-4,25,1.32,23.3,20.3,+3.0,+0.16,19,5,5,9,15,27,-12,20,1.05,16.5,25.5,-9.0,-0.47
14,Crystal Palace,19,6,5,8,20,32,-12,23,1.21,13.8,26.2,-12.4,-0.65,19,6,3,10,21,34,-13,21,1.11,18.6,31.3,-12.7,-0.67
15,Southampton,19,8,3,8,28,25,+3,27,1.42,20.7,22.4,-1.7,-0.09,19,4,4,11,19,43,-24,16,0.84,21.6,31.8,-10.2,-0.54
16,Brighton,19,4,9,6,22,22,0,21,1.11,31.5,14.6,+16.9,+0.89,19,5,5,9,18,24,-6,20,1.05,20.1,23.0,-2.9,-0.15
17,Burnley,19,4,6,9,14,27,-13,18,0.95,20.6,27.6,-7.0,-0.37,19,6,3,10,19,28,-9,21,1.11,19.3,30.0,-10.7,-0.57
18,Fulham,19,2,4,13,9,28,-19,10,0.53,18.8,24.9,-6.1,-0.32,19,3,9,7,18,25,-7,18,0.95,22.5,28.0,-5.5,-0.29
19,West Brom,19,3,6,10,15,39,-24,15,0.79,17.2,36.1,-18.9,-0.99,19,2,5,12,20,37,-17,11,0.58,16.6,31.7,-15.1,-0.79
20,Sheffield Utd,19,5,1,13,12,27,-15,16,0.84,16.9,30.5,-13.6,-0.72,19,2,1,16,8,36,-28,7,0.37,14.5,31.9,-17.4,-0.92
